collectionName,country,queryCount,averageLatency
listingCollection,Estonia,100,0.49
nonShardedCollection,Estonia,100,0.54
listingCollection,France,100,0.36
nonShardedCollection,France,100,0.45
listingCollection,Luxembourg,100,0.26
nonShardedCollection,Luxembourg,100,0.43
listingCollection,Romania,100,0.33
nonShardedCollection,Romania,100,0.42
listingCollection,Germany,100,0.23
nonShardedCollection,Germany,100,0.39
listingCollection,Spain,100,0.22
nonShardedCollection,Spain,100,0.38
listingCollection,Bulgaria,100,0.22
nonShardedCollection,Bulgaria,100,0.45
listingCollection,Austria,100,0.21
nonShardedCollection,Austria,100,0.40
listingCollection,Czech Republic,100,0.24
nonShardedCollection,Czech Republic,100,0.42
listingCollection,Latvia,100,0.22
nonShardedCollection,Latvia,100,0.41
listingCollection,Portugal,100,0.44
nonShardedCollection,Portugal,100,1.87
listingCollection,Czech Republic,100,0.29
nonShardedCollection,Czech Republic,100,1.81
listingCollection,Italy,100,0.35
nonShardedCollection,Italy,100,1.77
listingCollection,Sweden,100,0.28
nonShardedCollection,Sweden,100,1.77
listingCollection,Slovakia,100,0.27
nonShardedCollection,Slovakia,100,1.77
listingCollection,Lithuania,100,0.28
nonShardedCollection,Lithuania,100,1.79
listingCollection,Malta,100,0.29
nonShardedCollection,Malta,100,1.76
listingCollection,Luxembourg,100,0.29
nonShardedCollection,Luxembourg,100,1.76
listingCollection,Bulgaria,100,0.28
nonShardedCollection,Bulgaria,100,1.79
listingCollection,Estonia,100,0.28
nonShardedCollection,Estonia,100,1.76
listingCollection,Cyprus,100,0.54
nonShardedCollection,Cyprus,100,5.43
listingCollection,Malta,100,0.34
nonShardedCollection,Malta,100,5.66
listingCollection,Sweden,100,0.31
nonShardedCollection,Sweden,100,4.81
listingCollection,Netherlands,100,0.32
nonShardedCollection,Netherlands,100,4.85
listingCollection,Denmark,100,0.42
nonShardedCollection,Denmark,100,4.89
listingCollection,Poland,100,0.32
nonShardedCollection,Poland,100,4.81
listingCollection,Belgium,100,0.33
nonShardedCollection,Belgium,100,4.84
listingCollection,Estonia,100,0.32
nonShardedCollection,Estonia,100,4.84
listingCollection,Latvia,100,0.32
nonShardedCollection,Latvia,100,4.82
listingCollection,Slovenia,100,0.32
nonShardedCollection,Slovenia,100,4.87
listingCollection,Denmark,100,0.82
nonShardedCollection,Denmark,100,16.26
listingCollection,Lithuania,100,0.59
nonShardedCollection,Lithuania,100,16.24
listingCollection,Czech Republic,100,0.53
nonShardedCollection,Czech Republic,100,16.13
listingCollection,Slovenia,100,0.53
nonShardedCollection,Slovenia,100,16.47
listingCollection,Spain,100,0.53
nonShardedCollection,Spain,100,17.68
listingCollection,Luxembourg,100,0.64
nonShardedCollection,Luxembourg,100,16.61
listingCollection,Estonia,100,0.75
nonShardedCollection,Estonia,100,17.15
listingCollection,Portugal,100,0.54
nonShardedCollection,Portugal,100,16.24
listingCollection,Croatia,100,0.49
nonShardedCollection,Croatia,100,15.93
listingCollection,Slovakia,100,0.61
nonShardedCollection,Slovakia,100,16.10
listingCollection,Finland,100,0.91
nonShardedCollection,Finland,100,46.66
listingCollection,Spain,100,0.89
nonShardedCollection,Spain,100,44.63
listingCollection,Bulgaria,100,0.73
nonShardedCollection,Bulgaria,100,45.51
listingCollection,Luxembourg,100,0.81
nonShardedCollection,Luxembourg,100,44.14
listingCollection,Czech Republic,100,0.69
nonShardedCollection,Czech Republic,100,44.95
listingCollection,France,100,0.71
nonShardedCollection,France,100,43.52
listingCollection,Ireland,100,0.70
nonShardedCollection,Ireland,100,47.40
listingCollection,Portugal,100,1.04
nonShardedCollection,Portugal,100,47.03
listingCollection,Netherlands,100,0.92
nonShardedCollection,Netherlands,100,45.26
listingCollection,Denmark,100,0.76
nonShardedCollection,Denmark,100,43.92
listingCollection,Greece,100,1.70
nonShardedCollection,Greece,100,105.11
listingCollection,Finland,100,1.71
nonShardedCollection,Finland,100,94.22
listingCollection,Ireland,100,1.49
nonShardedCollection,Ireland,100,91.73
listingCollection,Spain,100,1.40
nonShardedCollection,Spain,100,92.97
listingCollection,Estonia,100,1.38
nonShardedCollection,Estonia,100,91.04
listingCollection,Belgium,100,1.39
nonShardedCollection,Belgium,100,90.64
listingCollection,Slovenia,100,1.46
nonShardedCollection,Slovenia,100,96.27
listingCollection,Malta,100,1.63
nonShardedCollection,Malta,100,91.01
listingCollection,Luxembourg,100,1.44
nonShardedCollection,Luxembourg,100,92.93
listingCollection,Slovakia,100,1.42
nonShardedCollection,Slovakia,100,91.79
listingCollection,Austria,100,2.93
nonShardedCollection,Austria,100,199.96
listingCollection,Germany,100,2.77
nonShardedCollection,Germany,100,198.37
listingCollection,Sweden,100,2.41
nonShardedCollection,Sweden,100,184.23
listingCollection,Slovakia,100,2.57
nonShardedCollection,Slovakia,100,194.19
listingCollection,Hungary,100,2.75
nonShardedCollection,Hungary,100,187.93
listingCollection,Greece,100,2.82
nonShardedCollection,Greece,100,189.52
listingCollection,Portugal,100,2.49
nonShardedCollection,Portugal,100,194.36
listingCollection,Slovenia,100,2.62
nonShardedCollection,Slovenia,100,192.60
listingCollection,Belgium,100,2.64
nonShardedCollection,Belgium,100,186.81
listingCollection,Poland,100,2.49
nonShardedCollection,Poland,100,187.95